id,r,cx,cz,c,contrast,cnr,snr,gcnr
14,0.008,-0.006,0.055,1420.0,-8.656895160675049,-0.9941609501838684,1.656063199043274,0.5896775271934681
15,0.006,-0.008,0.0575,1570.0,-10.210250616073608,-1.0883833169937134,1.6269620656967163,0.6709490910102347
16,0.006,-0.008,0.0475,1480.0,-8.856369256973267,-1.0401630401611328,1.7123991250991821,0.6070313570369874
21,0.006,0.012,0.06,1590.0,-10.624313354492188,-1.1094797849655151,1.622814655303955,0.6811577619311769
24,0.002,-0.004,0.0575,1420.0,-8.459663391113281,-0.9877828359603882,1.6482034921646118,0.6427027756320498
25,0.002,0.002,0.0625,1480.0,-5.798855423927307,-0.7638536691665649,1.7151259183883667,0.640132243960614
45,0.002,-0.006,0.04,1570.0,-7.8051382303237915,-0.8851185441017151,1.5717520713806152,0.6248997103043924
49,0.004,-0.006,0.07,1560.0,-9.97067928314209,-1.0513031482696533,1.5947182178497314,0.6552751900229674
56,0.008,-0.014,0.0475,1420.0,-7.144310474395752,-0.8856581449508667,1.6979769468307495,0.5175241857537258
61,0.008,-0.008,0.045,1590.0,-9.908029437065125,-1.0584763288497925,1.6130189895629883,0.646451267696556
64,0.003,0.014,0.0525,1510.0,-7.254076600074768,-0.8086355328559875,1.5102825164794922,0.508692556768679
69,0.006,0.006,0.0425,1420.0,-7.422284483909607,-0.9061222672462463,1.6795374155044556,0.5278959997312295
73,0.004,0.008,0.06,1560.0,-8.746639490127563,-0.9998564124107361,1.653184413909912,0.6003488203426258
75,0.008,-0.01,0.0525,1580.0,-10.772334337234497,-1.087658405303955,1.5750455856323242,0.6791880158195706
79,0.003,-0.008,0.0575,1550.0,-9.59373414516449,-1.0217704772949219,1.5827083587646484,0.6442914883162786
86,0.002,0.016,0.06,1490.0,-6.683042645454407,-0.8591209053993225,1.784297227859497,0.6379006547206811
98,0.006,0.006,0.055,1490.0,-9.317232966423035,-1.0181035995483398,1.617070198059082,0.608454423255556
100,0.006,-0.012,0.0525,1450.0,-8.247581124305725,-0.915810227394104,1.567486047744751,0.5413593850644014
104,0.008,0.006,0.0475,1480.0,-8.894107341766357,-0.9975460767745972,1.6353142261505127,0.597215863926096
107,0.004,0.014,0.0675,1430.0,-7.829046845436096,-0.926913857460022,1.6402665376663208,0.5572940898078615
110,0.004,0.01,0.06,1520.0,-8.812737464904785,-1.0420737266540527,1.7176604270935059,0.617567800475829
112,0.008,0.016,0.06,1530.0,-9.40952181816101,-0.9587824940681458,1.501664400100708,0.6102406431697401
113,0.002,0.016,0.05,1500.0,-4.400898218154907,-0.5731158256530762,1.6146845817565918,0.5852764433399652
117,0.002,-0.014,0.0475,1500.0,-6.455272436141968,-0.7443800568580627,1.49528968334198,0.5514096098424575
119,0.003,-0.014,0.0525,1440.0,-6.693865060806274,-0.830680787563324,1.6710929870605469,0.4908235552171849
120,0.008,0.014,0.0525,1440.0,-8.188174962997437,-0.9554725885391235,1.653608798980713,0.5657254745129732
122,0.008,0.016,0.04,1440.0,-6.24134361743927,-0.7597675323486328,1.6054269075393677,0.4360243023397973
128,0.004,0.002,0.065,1590.0,-10.555098056793213,-1.0889683961868286,1.595090389251709,0.6804128717103821
138,0.002,0.008,0.06,1540.0,-8.159685730934143,-0.9908470511436462,1.727864146232605,0.6610073571933109
155,0.002,-0.016,0.0525,1490.0,-5.79509437084198,-0.868445098400116,1.9689356088638306,0.6129752070747041
156,0.002,0.004,0.065,1590.0,-9.444833993911743,-0.975135326385498,1.516800880432129,0.6597523314812701
184,0.004,-0.012,0.0625,1580.0,-9.883666038513184,-0.9381502866744995,1.4248871803283691,0.6026713239527921
186,0.003,-0.012,0.0675,1480.0,-8.001131415367126,-0.9298350214958191,1.6385728120803833,0.5670334617274526
193,0.008,-0.008,0.06,1580.0,-11.034666299819946,-1.0797828435897827,1.5417330265045166,0.6724900772139021
197,0.008,0.016,0.0675,1430.0,-8.699363470077515,-0.995942234992981,1.6471835374832153,0.6049451713586159
210,0.004,-0.006,0.0625,1460.0,-9.264764785766602,-0.9981698393821716,1.5901260375976562,0.6175738631277936
219,0.003,-0.016,0.065,1490.0,-7.657687067985535,-0.9278203845024109,1.6798617839813232,0.5700098117067258
231,0.002,0.002,0.07,1470.0,-5.234933495521545,-0.7442666292190552,1.8309071063995361,0.6013308796493552
232,0.003,-0.008,0.04,1600.0,-6.95940375328064,-0.787383496761322,1.5017530918121338,0.5112625431164441
237,0.004,0.014,0.055,1590.0,-8.650560975074768,-0.9971432089805603,1.6616712808609009,0.5897387808308683
240,0.004,-0.016,0.04,1570.0,-7.455348372459412,-0.919620156288147,1.7025808095932007,0.5428754224393426
241,0.008,-0.012,0.045,1540.0,-9.310879707336426,-1.0166425704956055,1.6107680797576904,0.6150961315954139
245,0.004,0.008,0.07,1510.0,-8.97997796535492,-1.0361745357513428,1.692411184310913,0.6064544391557716
