id,r,cx,cz,c,contrast,cnr,snr,gcnr
14,0.008,-0.006,0.055,1420.0,-6.405591368675232,-3.027780294418335,6.047632694244385,0.9563700898106632
15,0.006,-0.008,0.0575,1570.0,-5.742771625518799,-1.6393511295318604,3.4435365200042725,0.76209123534012
16,0.006,-0.008,0.0475,1480.0,-5.290067195892334,-1.465729594230652,3.2583394050598145,0.7437271704587824
21,0.006,0.012,0.06,1590.0,-5.832911729812622,-2.336024045944214,5.035984992980957,0.8932073712045533
24,0.002,-0.004,0.0575,1420.0,-0.0304299080744385,-0.0226406175643205,8.536150932312012,0.5129501341700152
25,0.002,0.002,0.0625,1480.0,-0.6382188946008682,-0.5120644569396973,9.478219032287598,0.5462937316308698
45,0.002,-0.006,0.04,1570.0,-0.4051760211586952,-0.2476381659507751,7.488741397857666,0.5377582086400419
49,0.004,-0.006,0.07,1560.0,-0.212635900825262,-0.1640368402004242,9.322643280029297,0.1965527436092937
56,0.008,-0.014,0.0475,1420.0,-6.337263584136963,-3.3564159870147705,6.856627941131592,0.9766143424161092
61,0.008,-0.008,0.045,1590.0,-5.178521275520325,-1.7715810537338257,4.072080612182617,0.8082854924111527
64,0.003,0.014,0.0525,1510.0,-4.948218762874603,-2.01564884185791,4.877902984619141,0.855201937871635
69,0.006,0.006,0.0425,1420.0,-5.589551329612732,-2.805307388305664,6.454572677612305,0.9462900019922016
73,0.004,0.008,0.06,1560.0,-3.450414538383484,-1.3210499286651611,8.930451393127441,0.6724325327555908
75,0.008,-0.01,0.0525,1580.0,-5.296239256858826,-1.7041678428649902,4.777642726898193,0.811158349112454
79,0.003,-0.008,0.0575,1550.0,-0.0092840439174324,-0.0071754059754312,9.357133865356444,0.2835130870906499
86,0.002,0.016,0.06,1490.0,0.1693635247647762,0.1371150910854339,10.256296157836914,0.6453681249904627
98,0.006,0.006,0.055,1490.0,-4.856847524642944,-1.3866616487503052,3.976337194442749,0.7383939994360513
100,0.006,-0.012,0.0525,1450.0,-5.454619526863098,-1.6575708389282229,3.630645513534546,0.7826414943790748
104,0.008,0.006,0.0475,1480.0,-5.705170035362244,-1.6001354455947876,3.3582186698913574,0.7824003874551648
107,0.004,0.014,0.0675,1430.0,-5.971314311027527,-3.5781164169311523,9.709266662597656,0.965851006370796
110,0.004,0.01,0.06,1520.0,-2.677697539329529,-0.6751879453659058,3.418217658996582,0.4643995469556907
112,0.008,0.016,0.06,1530.0,-6.676909327507019,-3.1351397037506104,6.03790283203125,0.95675789995241
113,0.002,0.016,0.05,1500.0,-0.1643687300384044,-0.1042350158095359,7.442314624786377,0.5624862208062013
117,0.002,-0.014,0.0475,1500.0,-0.4175666347146034,-0.2657689154148102,7.674641132354736,0.4932819471730401
119,0.003,-0.014,0.0525,1440.0,-3.652914762496948,-0.8963683247566223,2.6476519107818604,0.488553270469235
120,0.008,0.014,0.0525,1440.0,-6.409205794334412,-3.761460065841675,7.761504650115967,0.9916398866892208
122,0.008,0.016,0.04,1440.0,-5.60050904750824,-2.195948362350464,4.801429271697998,0.8773272931675746
128,0.004,0.002,0.065,1590.0,-0.3218977898359298,-0.2555283904075622,9.45734405517578,0.208727574872488
138,0.002,0.008,0.06,1540.0,-0.2282783761620521,-0.1766899228096008,9.22456169128418,0.5439952622364371
155,0.002,-0.016,0.0525,1490.0,-0.1488065719604492,-0.1124326810240745,8.642745018005371,0.5185850358817211
156,0.002,0.004,0.065,1590.0,0.0509635917842388,0.0413000360131263,9.799198150634766,0.5139665480443657
184,0.004,-0.012,0.0625,1580.0,-4.840997755527496,-2.0060715675354004,8.2915678024292,0.8618020481643007
186,0.003,-0.012,0.0675,1480.0,-4.155954718589783,-1.7218955755233765,6.902990341186523,0.8097660295995504
193,0.008,-0.008,0.06,1580.0,-5.478874444961548,-2.430509328842163,5.4375200271606445,0.8964207135592676
197,0.008,0.016,0.0675,1430.0,-5.170227289199829,-2.08131742477417,5.315956115722656,0.8450791059879258
210,0.004,-0.006,0.0625,1460.0,-1.340743750333786,-0.5995156168937683,7.288908958435059,0.3498430033821981
219,0.003,-0.016,0.065,1490.0,-2.0135219395160675,-0.6123877763748169,3.021688461303711,0.4157077452606956
231,0.002,0.002,0.07,1470.0,0.1024322118610143,0.0795717909932136,10.085369110107422,0.5427498878996709
232,0.003,-0.008,0.04,1600.0,-1.1874426156282425,-0.7009003162384033,6.911446571350098,0.4727582562287939
237,0.004,0.014,0.055,1590.0,-4.285822212696075,-1.6344228982925415,4.355682373046875,0.7748917532518469
240,0.004,-0.016,0.04,1570.0,-3.8728299736976624,-2.141861915588379,6.612228393554688,0.8842590645613271
241,0.008,-0.012,0.045,1540.0,-4.889607727527618,-2.7151412963867188,7.076931476593018,0.9501558160481602
245,0.004,0.008,0.07,1510.0,-5.673860311508179,-4.460848808288574,10.624984741210938,1.0
247,0.006,0.008,0.06,1470.0,-5.934495329856873,-4.1300859451293945,9.24223518371582,0.9916198570794698
248,0.003,0.002,0.065,1590.0,-0.036279777996242,-0.0308676604181528,10.102316856384276,0.3030031993445612
249,0.003,-0.002,0.0675,1530.0,-0.2912868186831474,-0.2439599782228469,10.039410591125488,0.3026468751854945
251,0.002,0.016,0.0525,1590.0,-0.5799452215433121,-0.4205697476863861,8.817731857299805,0.4954112627246338
256,0.003,0.01,0.055,1550.0,-1.7916284501552582,-0.5505459904670715,4.160805702209473,0.4857310892158344
265,0.006,0.006,0.07,1540.0,-5.148003697395325,-2.441101312637329,10.256412506103516,0.8872539206483863
272,0.006,-0.002,0.0675,1600.0,-4.064178466796875,-1.5877656936645508,10.02363395690918,0.750793480061893
277,0.006,-0.014,0.04,1470.0,-4.125725030899048,-1.7418229579925537,4.870978355407715,0.7962579197049561
286,0.002,0.004,0.0675,1430.0,0.6095108017325401,0.3538402020931244,5.928738594055176,0.5263160604008805
289,0.004,0.008,0.045,1570.0,-3.139241635799408,-1.3501641750335691,4.780012130737305,0.6910990740760163
291,0.002,0.006,0.045,1530.0,0.1047107949852943,0.0721532702445983,8.019827842712402,0.5011871389758433
292,0.006,0.002,0.06,1510.0,-3.2877621054649357,-1.2933428287506104,9.243548393249512,0.6823387211896703
298,0.008,-0.012,0.0575,1420.0,-4.995116293430328,-2.070297241210937,6.65861177444458,0.8654111001465219
299,0.006,-0.006,0.0425,1460.0,-4.419224560260773,-2.667685508728028,7.727129936218262,0.9462549693231652
