,id,r,cx,cz,c,contrast,cnr,snr,gcnr
0,14,0.008,-0.006,0.055,1420.0,-47.65531539916992,-1.6235953569412231,1.6303489208221436,0.9996345029015296
1,15,0.006,-0.008,0.0575,1570.0,-51.376304626464844,-1.8127753734588623,1.8176814317703247,1.0
2,16,0.006,-0.008,0.0475,1480.0,-52.76925563812256,-1.8315938711166382,1.835814356803894,1.0
3,21,0.006,0.012,0.06,1590.0,-46.857032775878906,-1.4932639598846436,1.5000759363174438,0.9814814787546499
4,24,0.002,-0.004,0.0575,1420.0,-26.680912971496582,-1.9534658193588257,2.0506043434143066,0.988094814406315
5,25,0.002,0.002,0.0625,1480.0,-29.084584712982178,-1.2957326173782349,1.357625961303711,0.935294116337825
6,45,0.002,-0.006,0.04,1570.0,-47.187066078186035,-1.231674075126648,1.2370822429656982,0.8181817812344044
7,49,0.004,-0.006,0.07,1560.0,-37.25414514541626,-1.5997551679611206,1.6220064163208008,1.0
8,56,0.008,-0.014,0.0475,1420.0,-45.758628845214844,-1.5440503358840942,1.5520482063293457,0.999453750894952
9,61,0.008,-0.008,0.045,1590.0,-44.47548866271973,-1.5439856052398682,1.5532641410827637,0.9995101640657129
10,64,0.003,0.014,0.0525,1510.0,-46.987576484680176,-1.6339607238769531,1.6413028240203857,1.0
11,69,0.006,0.006,0.0425,1420.0,-35.967750549316406,-1.6024549007415771,1.628359079360962,0.9997626957659427
12,73,0.004,0.008,0.06,1560.0,-46.46772384643555,-1.6356157064437866,1.6434205770492554,1.0
13,75,0.008,-0.01,0.0525,1580.0,-42.193098068237305,-1.491707444190979,1.5033868551254272,0.9987382587889062
14,79,0.003,-0.008,0.0575,1550.0,-30.15455722808838,-1.7415212392807007,1.797361969947815,1.0
15,86,0.002,0.016,0.06,1490.0,-35.18121004104614,-1.6014881134033203,1.6299093961715698,1.0
16,98,0.006,0.006,0.055,1490.0,-48.347625732421875,-1.5249340534210205,1.5307891368865967,0.9995251661609504
17,100,0.006,-0.012,0.0525,1450.0,-45.6284236907959,-1.449271559715271,1.456892490386963,0.9997315436236472
18,104,0.008,0.006,0.0475,1480.0,-48.20302963256836,-1.5739901065826416,1.5801353454589844,0.9995121951089009
19,107,0.004,0.014,0.0675,1430.0,-45.69193363189697,-1.4903411865234375,1.4981207847595215,1.0
20,110,0.004,0.01,0.06,1520.0,-45.01317501068115,-1.6483192443847656,1.657626748085022,1.0
21,112,0.008,0.016,0.06,1530.0,-47.85827159881592,-1.4946662187576294,1.5007389783859253,1.0
22,113,0.002,0.016,0.05,1500.0,-0.7922513037919998,-0.13608404994010925,2.092599630355835,0.5328635450176382
